MONTH,MEAN,MEDIAN,STD
01,2479925.1212393465,1541576.0,3139673.4333580243
02,2702214.5787183046,1600528.0,3359995.038832618
03,2572713.21529524,1537562.0,3286023.4508226216
04,2462993.865148833,1544014.0,3163650.6553351837
05,2546133.8262307416,1577337.0,3322728.0964064565
06,2513353.1749987327,1534909.0,3322143.000538264
07,1775673.497718898,1468104.5,1770830.6199074455
10,2109727.9974569934,1495750.0,2472574.925306813
11,2328668.8084738175,1515922.0,2803170.62787059
12,2281593.348787217,1510932.0,2756389.4008347816
