DAY,MEAN,MEDIAN,STD
01,2389350.636486012,1541010.5,2857818.1630050987
02,2349845.251982014,1525613.0,2844028.1064885124
03,2364847.5443328046,1517204.0,2948710.388131411
04,2360008.472769628,1525168.0,2915365.8530475697
05,2405594.9192750133,1522593.5,3071422.745646109
06,2517847.5103758955,1542804.0,3226057.230640404
07,2411306.343659774,1535630.0,3038344.462672431
08,2498043.018594069,1554455.0,3202296.043528366
09,2482527.254142357,1554436.0,3138419.887381851
10,2467593.9290307215,1555406.0,3012618.7700867574
11,2423664.675242291,1551341.5,2991070.174514642
12,2446724.6720509436,1546859.0,3050258.0610809424
13,2496611.4652431062,1543687.0,3276942.3935112404
14,2507505.9791110517,1550977.0,3217438.12258086
15,2478472.066157423,1539332.0,3253437.5225851852
16,2607678.5492557064,1625006.0,3112615.9676955575
17,2418197.2517321017,1528590.0,3007879.9449534416
18,2357911.514747804,1525118.0,2969322.503281142
19,2419735.006647618,1537564.0,3068002.219150687
20,2476663.780476303,1534956.5,3232452.339050313
21,2432267.6566055533,1524079.0,3223084.708636958
22,2402004.6846514354,1527236.0,3035508.106440893
23,2414306.590574632,1518679.5,3076015.240823597
24,2410812.225301484,1537526.5,2966793.0905476282
25,3300374.2551127123,1611912.0,4319412.323696866
26,2468518.146512301,1575998.0,3072016.579329649
27,2391826.002899464,1554992.0,2964979.862580108
28,2438233.2248328943,1559478.0,3020924.3948106426
29,2321946.1774636563,1525337.0,2886660.777757321
30,2278063.7921206485,1510609.0,2833375.781643053
31,2443250.052968568,1511141.5,3121513.5275044697
